Date,Open,High,Low,Close,Volume,OpenInt
2006-11-03,20.62,20.62,20.511,20.528,10139,0
2006-11-06,20.69,20.852,20.69,20.852,5838,0
2006-11-07,20.985,21.045,20.921,20.936,29230,0
2006-11-08,20.883,21.004,20.844,20.99,48581,0
2006-11-09,20.952,21.03,20.921,20.929,97734,0
2006-11-10,21.06,21.06,20.976,20.99,4038,0
2006-11-13,20.936,20.96,20.889,20.914,18067,0
2006-11-14,21.022,21.022,20.805,21.004,18669,0
2006-11-15,21.237,21.629,20.921,21.108,52242,0
2006-11-16,21.045,21.045,20.985,20.985,5276,0
2006-11-17,20.852,20.952,20.805,20.952,5838,0
2006-11-20,20.905,20.985,20.905,20.936,11690,0
2006-11-21,20.985,21.03,20.985,21.03,11714,0
2006-11-22,21.084,21.121,21.084,21.115,4754,0
2006-11-24,21.06,21.168,21.06,21.144,7467,0
2006-11-27,21.176,21.176,20.836,20.844,18700,0
2006-11-28,20.836,20.967,20.836,20.967,23046,0
2006-11-29,21.275,21.275,21.091,21.176,11506,0
2006-11-30,21.246,21.246,21.144,21.228,8588,0
2006-12-01,21.261,21.261,20.976,21.084,15930,0
2006-12-04,21.075,21.228,21.075,21.214,21653,0
2006-12-05,21.315,21.383,21.261,21.383,7676,0
2006-12-06,21.185,21.329,21.185,21.275,5421,0
2006-12-07,21.453,21.461,21.391,21.399,76809,0
2006-12-08,21.415,21.468,21.345,21.351,3716,0
2006-12-11,21.391,21.476,21.345,21.447,18323,0
2006-12-12,21.492,21.53,21.415,21.53,8096,0
2006-12-13,21.605,25.008,21.562,21.66,15417,0
2006-12-14,21.676,21.702,21.613,21.685,7820,0
2006-12-15,21.685,22.871,21.499,21.521,179666,0
2006-12-18,21.722,21.722,21.461,21.521,13254,0
2006-12-19,21.729,21.729,21.461,21.685,11703,0
2006-12-20,21.902,21.902,21.585,21.585,7394,0
2006-12-21,21.729,21.729,21.407,21.562,15390,0
2006-12-22,21.36,21.424,21.282,21.391,8296,0
2006-12-26,21.605,21.605,21.391,21.468,14709,0
2006-12-27,21.646,21.676,21.484,21.676,20096,0
2006-12-28,21.685,21.716,21.629,21.676,12798,0
2006-12-29,21.668,21.676,21.605,21.629,11153,0
2007-01-03,21.992,21.992,21.685,21.722,48929,0
2007-01-04,21.668,21.722,21.578,21.685,11296,0
2007-01-05,21.515,21.515,21.306,21.368,15565,0
2007-01-08,21.377,21.383,21.261,21.368,17245,0
2007-01-09,21.383,21.383,21.221,21.315,15934,0
2007-01-10,21.084,21.152,21.038,21.129,22812,0
2007-01-11,21.199,21.407,21.199,21.315,33656,0
2007-01-12,21.383,21.605,21.383,21.599,18338,0
2007-01-16,21.638,22.88,21.515,21.547,67980,0
2007-01-17,21.484,21.605,21.431,21.562,11718,0
2007-01-18,21.653,21.653,21.484,21.499,32104,0
2007-01-19,21.461,21.702,21.461,21.702,6411,0
2007-01-22,21.722,21.722,21.499,21.539,44839,0
